Title,Note,URL,Tags,Comment
Alley Pond Park,,https://www.google.com/maps/place/Alley+Pond+Park/data=!4m2!3m1!1s0x89c261fff47a2ccf:0x3085b63551f7fe30,,
Brooklyn Botanic Garden,,https://www.google.com/maps/place/Brooklyn+Botanic+Garden/data=!4m2!3m1!1s0x89c25b0e68bf8bc1:0x57422fe45b635cda,,
Zatar Cafe & Bistro,,https://www.google.com/maps/place/Zatar+Cafe+%26+Bistro/data=!4m2!3m1!1s0x89c25bfbdb0e8f85:0xa9abc7f32a34e703,,
Coco Thai Bistro,,https://www.google.com/maps/place/Coco+Thai+Bistro/data=!4m2!3m1!1s0x89c25b1fcd4a21d9:0x77dc54621295b88b,,
McKinley Park,,https://www.google.com/maps/place/McKinley+Park/data=!4m2!3m1!1s0x89c2454490a83d95:0xc267e6142e8a5eeb,,
Costco Wholesale,,https://www.google.com/maps/place/Costco+Wholesale/data=!4m2!3m1!1s0x89c25ab8b1538913:0xb2823f5dbd75f07f,,
Sunset Park,,https://www.google.com/maps/place/Sunset+Park/data=!4m2!3m1!1s0x89c25ac85fcd7669:0x3b0395588247b8af,,
JOOY TEA SHOPPE,,https://www.google.com/maps/place/JOOY+TEA+SHOPPE/data=!4m2!3m1!1s0x89c245ffc8bd5cff:0x59ce83b472c8663a,,
Cipollini Pronto,,https://www.google.com/maps/place/Cipollini+Pronto/data=!4m2!3m1!1s0x89c2888e8b156ba3:0x8070082953661fbf,,
"Northwell Health Physician Partners LGBTQ Transgender Program at New Hyde 
Park",,https://www.google.com/maps/place/Northwell+Health+Physician+Partners+LGBTQ+Transgender+Program+at+New+Hyde+%0APark/data=!4m2!3m1!1s0x89c289642489a26d:0xcb987df192af7cf8,,
Americana Manhasset,,https://www.google.com/maps/place/Americana+Manhasset/data=!4m2!3m1!1s0x89c2888c2a5b7b03:0x5ac97a8118026c5d,,
Pershing Square,,https://www.google.com/maps/place/Pershing+Square/data=!4m2!3m1!1s0x80c2c648d6841e69:0x985c91941e8627dc,,
Los Angeles Central Library,,https://www.google.com/maps/place/Los+Angeles+Central+Library/data=!4m2!3m1!1s0x80c2c7b373fdfeab:0xacccc807c7d16523,,
Japanese Village Plaza,,https://www.google.com/maps/place/Japanese+Village+Plaza/data=!4m2!3m1!1s0x80c2c6480cf9ad7b:0x7478899f5b75e2ab,,
