,route,route_id,route_dir,route_shor,route_long,ridership,color
363,B61,B61,B61_0,B61,Park Slope - Downtown Brooklyn,5883,#c133fe
364,B61,B61,B61_1,B61,Park Slope - Downtown Brooklyn,5883,#c133fe
491,Q64,Q64,Q64_1,Q64,Jewel Ave,5815,#bdce63
490,Q64,Q64,Q64_0,Q64,Jewel Ave,5815,#bdce63
287,M100,M100,M100_0,M100,Inwood - Manhattanville,5777,#33feb9
288,M100,M100,M100_1,M100,Inwood - Manhattanville,5777,#33feb9
194,Q83,Q83,Q83_1,Q83,Cambria Heights - Jamaica,5671,#3bf69b
193,Q83,Q83,Q83_0,Q83,Cambria Heights - Jamaica,5671,#3bf69b
409,Q59,Q59,Q59_1,Q59,Williamsburg - Rego Park,5639,#4ce56f
408,Q59,Q59,Q59_0,Q59,Williamsburg - Rego Park,5639,#4ce56f
258,BX39,BX39,BX39_1,Bx39,Wakefield - Clasons Pt,5625,#e051b5
257,BX39,BX39,BX39_0,Bx39,Wakefield - Clasons Pt,5625,#e051b5
142,Q13,Q13,Q13_1,Q13,Fort Totten - Flushing,5617,#f5923c
141,Q13,Q13,Q13_0,Q13,Fort Totten - Flushing,5617,#f5923c
463,Q33,Q33,Q33_1,Q33,82 St/83 St - 95 St & Ditmars Blvd,5500,#64cdc2
462,Q33,Q33,Q33_0,Q33,82 St/83 St - 95 St & Ditmars Blvd,5500,#64cdc2
335,B43,B43,B43_0,B43,Greenpoint - Lefferts Gardens,5439,#53dea8
336,B43,B43,B43_1,B43,Greenpoint - Lefferts Gardens,5439,#53dea8
203,BX11,BX11,BX11_0,Bx11,Parkchester - Southern Blvd & GW Bridge,5439,#927fb2
204,BX11,BX11,BX11_1,Bx11,Parkchester - Southern Blvd & GW Bridge,5439,#927fb2
252,BX35,BX35,BX35_1,Bx35,West Farms Rd & Jennings St - GW Bridge,5432,#45ec5d
251,BX35,BX35,BX35_0,Bx35,West Farms Rd & Jennings St - GW Bridge,5432,#45ec5d
301,B17,B17,B17_0,B17,Canarsie - Crown Heights,5419,#c846eb
302,B17,B17,B17_1,B17,Canarsie - Crown Heights,5419,#c846eb
312,B26,B26,B26_1,B26,Downtown Brooklyn - Ridgewood,5358,#43e6ee
311,B26,B26,B26_0,B26,Downtown Brooklyn - Ridgewood,5358,#43e6ee
57,M57,M57,M57_1,M57,East Side - West Side,5335,#c765cc
56,M57,M57,M57_0,M57,East Side - West Side,5335,#c765cc
228,BX22,BX22,BX22_1,Bx22,Bedford Park - Castle Hill,5333,#d9e051
227,BX22,BX22,BX22_0,Bx22,Bedford Park - Castle Hill,5333,#d9e051
469,Q37,Q37,Q37_1,Q37,111Th Street,5286,#68b2c9
468,Q37,Q37,Q37_0,Q37,111Th Street,5286,#68b2c9
226,BX21,BX21,BX21_1,Bx21,Westchester Sq - Mott Haven,5242,#52df5f
225,BX21,BX21,BX21_0,Bx21,Westchester Sq - Mott Haven,5242,#52df5f
403,Q55,Q55,Q55_1,Q55,Ridgewood - Richmond Hill,5232,#bc65cc
402,Q55,Q55,Q55_0,Q55,Ridgewood - Richmond Hill,5232,#bc65cc
502,Q72,Q72,Q72_1,Q72,Junction Blvd - Laguardia Main Term,5228,#8969c8
501,Q72,Q72,Q72_0,Q72,Junction Blvd - Laguardia Main Term,5228,#8969c8
59,M5,M5,M5_1,M5,George Washington Bridge - 31 St & 6 Av,5186,#d3aa5e
58,M5,M5,M5_0,M5,George Washington Bridge - 31 St & 6 Av,5186,#d3aa5e
405,Q56,Q56,Q56_1,Q56,Broadway Junction - Jamaica,5119,#d87359
404,Q56,Q56,Q56_0,Q56,Broadway Junction - Jamaica,5119,#d87359
360,B57,B57,B57_1,B57,Gowanus - Maspeth,5118,#3335fe
359,B57,B57,B57_0,B57,Gowanus - Maspeth,5118,#3335fe
347,B47,B47,B47_0,B47,Kings Plaza - Bedford-Stuyvesant,5116,#bad55c
348,B47,B47,B47_1,B47,Kings Plaza - Bedford-Stuyvesant,5116,#bad55c
6,M104,M104,M104_0,M104,West Harlem - Times Square,5001,#6833fe
7,M104,M104,M104_1,M104,West Harlem - Times Square,5001,#6833fe
357,B54,B54,B54_0,B54,Downtown Brooklyn - Ridgewood,4950,#5d7ad4
358,B54,B54,B54_1,B54,Downtown Brooklyn - Ridgewood,4950,#5d7ad4
95,S53,S53,S53_1,S53,Port Richmond - Bay Ridge,4851,#5b5ad7
94,S53,S53,S53_0,S53,Port Richmond - Bay Ridge,4851,#5b5ad7
476,Q41,Q41,Q41_0,Q41,127Th Street - 109Th Avenue,4778,#72f63b
477,Q41,Q41,Q41_1,Q41,127Th Street - 109Th Avenue,4778,#72f63b
382,B70,B70,B70_1,B70,Dyker Heights - Sunset Park,4776,#fc3586
381,B70,B70,B70_0,B70,Dyker Heights - Sunset Park,4776,#fc3586
465,Q34,Q34,Q34_1,Q34,Willets Pt Bl - Kissena Bl - Parsons Bl,4773,#79b895
464,Q34,Q34,Q34_0,Q34,Willets Pt Bl - Kissena Bl - Parsons Bl,4773,#79b895
209,BX13,BX13,BX13_0,Bx13,George Washington Bridge - Yankee Stadium,4760,#39c1f8
210,BX13,BX13,BX13_1,Bx13,George Washington Bridge - Yankee Stadium,4760,#39c1f8
365,B62,B62,B62_0,B62,Downtown Brooklyn - Long Island City,4744,#ef33fe
366,B62,B62,B62_1,B62,Downtown Brooklyn - Long Island City,4744,#ef33fe
399,Q24,Q24,Q24_1,Q24,Broadway Junction - Jamaica,4684,#d0d75a
398,Q24,Q24,Q24_0,Q24,Broadway Junction - Jamaica,4684,#d0d75a
172,Q36,Q36,Q36_1,Q36,Floral Park or Little Neck - Jamaica,4644,#6367ce
171,Q36,Q36,Q36_0,Q36,Floral Park or Little Neck - Jamaica,4644,#6367ce
354,B4,B4,B4_1,B4,Bay Ridge - Sheepshead Bay,4588,#4be6b7
353,B4,B4,B4_0,B4,Bay Ridge - Sheepshead Bay,4588,#4be6b7
310,B25,B25,B25_1,B25,Dwntn Bklyn & DUMBO - Broadway Junction,4543,#5237fa
309,B25,B25,B25_0,B25,Dwntn Bklyn & DUMBO - Broadway Junction,4543,#5237fa
294,B13,B13,B13_1,B13,Spring Creek - Wyckoff Hospital,4525,#46ebbc
293,B13,B13,B13_0,B13,Spring Creek - Wyckoff Hospital,4525,#46ebbc
144,Q15,Q15A,Q15A_1,Q15A,Flushing - Beechhurst / Whitestone,4451,#d2945f
143,Q15,Q15A,Q15A_0,Q15A,Flushing - Beechhurst / Whitestone,4451,#d2945f
146,Q15,Q15,Q15_1,Q15,Flushing - Beechhurst,4451,#d2945f
145,Q15,Q15,Q15_0,Q15,Flushing - Beechhurst,4451,#d2945f
271,BX4,BX4A,BX4A_0,Bx4A,Westchester Sq - Gladstone Sq,4415,#84b978
274,BX4,BX4,BX4_1,Bx4,Westchester Sq - The Hub,4415,#84b978
273,BX4,BX4,BX4_0,Bx4,Westchester Sq - The Hub,4415,#84b978
272,BX4,BX4A,BX4A_1,Bx4A,Westchester Sq - Gladstone Sq,4415,#84b978
186,Q4,Q4,Q4_1,Q4,Cambria Heights - Jamaica,4278,#b4de53
185,Q4,Q4,Q4_0,Q4,Cambria Heights - Jamaica,4278,#b4de53
460,Q29,Q29,Q29_0,Q29,Dry Harbor Road - 80 Street,4262,#edf53c
461,Q29,Q29,Q29_1,Q29,Dry Harbor Road - 80 Street,4262,#edf53c
436,Q110,Q110,Q110_0,Q110,Jamaica Ave - Hempstead Ave,4185,#adb47d
437,Q110,Q110,Q110_1,Q110,Jamaica Ave - Hempstead Ave,4185,#adb47d
445,Q114,Q114,Q114_1,Q114,Guy Brewer Blvd Ltd - Rockaway Tpk,4075,#fac037
444,Q114,Q114,Q114_0,Q114,Guy Brewer Blvd Ltd - Rockaway Tpk,4075,#fac037
168,Q31,Q31,Q31_1,Q31,Bayside - Jamaica,4062,#6d83c4
167,Q31,Q31,Q31_0,Q31,Bayside - Jamaica,4062,#6d83c4
244,BX31,BX31,BX31_1,Bx31,Woodlawn - Westchester Sq,4018,#50f938
243,BX31,BX31,BX31_0,Bx31,Woodlawn - Westchester Sq,4018,#50f938
472,Q39,Q39,Q39_0,Q39,48 Ave - 58 St - Forest Ave,3999,#d3be5e
473,Q39,Q39,Q39_1,Q39,48 Ave - 58 St - Forest Ave,3999,#d3be5e
190,Q76,Q76,Q76_1,Q76,College Point - Jamaica,3951,#4c87e5
189,Q76,Q76,Q76_0,Q76,College Point - Jamaica,3951,#4c87e5
212,BX15,BX15,BX15_1,Bx15,Fordham Plaza - The Hub,3915,#41e2f0
211,BX15,BX15,BX15_0,Bx15,Fordham Plaza - The Hub,3915,#41e2f0
299,B16,B16,B16_0,B16,Bay Ridge - Lefferts Gardens,3887,#3f6ff2
300,B16,B16,B16_1,B16,Bay Ridge - Lefferts Gardens,3887,#3f6ff2
192,Q77,Q77,Q77_1,Q77,Laurelton - Jamaica,3882,#d160b0
