,Route,*,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,,2022-2023 Change,,2023 Rank
139,Q1,,4161.0,4011.9952,2098.0,2023.0228,2554.8231,2787.0,,232.17689999999993,0.09087787721975737,133
140,Q2,,5320.0,5210.8412,2937.0,2897.6832,3645.786,3827.0,,181.21399999999994,0.04970505674222237,112
141,Q3,,8709.0,8252.0488,4951.0,4908.2269,6278.3338,6511.0,,232.66619999999966,0.03705859029030913,61
142,Q4,1,8645.0,8640.1701,5146.0,4882.6459,5888.2465,4278.0,,-1610.2465000000002,-0.2734679161274923,103
143,Q5,,10844.0,10883.4651,6810.0,6667.268,7940.0362,7741.0,,-199.03619999999955,-0.02506741719892909,45
144,Q12,,10162.0,9485.8367,3820.0,4745.1333,5829.3563,6405.0,,575.6436999999996,0.09874910202349436,63
145,Q13,,7421.0,7369.0283,4054.0,4144.2143,5132.5424,5617.0,,484.45759999999973,0.094389400465547,74
146,Q15,,5692.0,5660.0866,2921.0,3086.2263,4053.9602,4451.0,,397.0398,0.0979387513473862,100
147,Q16,,3917.0,4126.8185,1846.0,1953.2121,2730.0464,3077.0,,346.9535999999998,0.12708707075454828,124
148,Q17,,15475.0,15634.0762,7744.0,7890.5362,10718.9929,11219.0,,500.0071000000007,0.04664683563695622,19
149,Q20,,13838.0,13629.3414,7403.0,7358.9458,9644.3952,10257.0,,612.6047999999992,0.06351925520430758,23
150,Q24,,7373.0,7046.4281,4873.0,4310.7658,5135.1917,4684.0,,-451.1917000000003,-0.08786267901157425,94
151,Q26,,1375.0,1411.9163,498.0,528.5258,817.059,1007.0,,189.94100000000003,0.23246913625576615,170
152,Q27,,23079.0,23018.7705,10736.0,10878.899,15617.9133,17180.0,,1562.0866999999998,0.10001891225763174,6
153,Q28,,8950.0,8723.1226,4413.0,4645.5968,6200.1566,6647.0,,446.84339999999975,0.07206969578800634,59
154,Q30,,9452.0,9466.8499,3837.0,4141.8959,6265.3801,6434.0,,168.6198999999997,0.02691295616685725,62
155,Q31,,5595.0,5465.354,2360.0,2708.8384,4018.5602,4062.0,,43.439800000000105,0.010809792024516669,104
156,Q32,,9810.0,9682.6906,7154.0,5659.9307,6419.6383,6879.0,,459.3617000000004,0.07155569808348866,58
157,Q36,,5899.0,5908.2248,3360.0,3461.3523,4278.4524,4644.0,,365.5475999999999,0.08543921161773352,95
158,Q42,,1156.0,1158.3259,549.0,610.8363,759.5965,795.0,,35.40350000000001,0.04660829795819229,175
159,Q43,,13434.0,13325.3658,7393.0,7292.3352,9124.3115,9346.0,,221.6885000000002,0.024296463355070703,27
160,Q44SBS,,25646.0,24483.878,11463.0,13380.0786,14515.704,14247.0,,-268.7039999999997,-0.018511262009751627,10
161,Q46,,20028.0,19678.2701,9200.0,9716.4372,12894.3676,13841.0,,946.6324000000004,0.07341441080057315,12
162,Q48,,2907.0,2769.6232,2120.0,1538.8645,1875.1071,2186.0,,310.89290000000005,0.1658000761663161,140
163,Q54,,10567.0,10094.3306,6696.0,6619.6578,7766.916,8120.0,,353.08399999999983,0.0454599998248983,39
164,Q55,,6761.0,6419.2043,4051.0,4328.0812,4975.3335,5232.0,,256.66650000000027,0.05158779808428928,83
165,Q56,,7630.0,6989.4347,5290.0,4758.9482,5447.2142,5119.0,,-328.21420000000035,-0.06025358797162783,85
166,Q58,,27940.0,27638.1308,17597.0,17627.1599,20592.1504,21774.0,,1181.8496000000014,0.057393209404686625,2
167,Q59,,6768.0,6813.8895,4043.0,4304.9585,5236.65,5639.0,,402.35000000000036,0.07683347178062318,72
168,Q76,,5341.0,5349.5369,2826.0,2890.1333,3762.7043,3951.0,,188.29570000000012,0.050042651504663846,106
169,Q77,,5744.0,5725.6649,3072.0,3315.5639,4138.7011,3882.0,,-256.7011000000002,-0.0620245564483988,109
170,Q83,,8168.0,8011.7251,4583.0,4664.0534,5501.1552,5671.0,,169.84479999999985,0.030874387983091233,71
171,Q84,,4225.0,4180.2286,2270.0,2322.7043,2895.6046,2950.0,,54.39539999999988,0.01878550683335697,128
172,Q85,,10939.0,10698.8632,6070.0,6022.9966,7086.22,6916.0,,-170.22000000000025,-0.024021269449720762,57
173,Q88,,10937.0,11098.8253,5164.0,5523.3497,8244.8926,8648.0,,403.1074000000008,0.048891770888562065,34
174,Q OTHER,,543.0,780.0663,410.0,1023.6650999999999,1405.7054,1589.0,,,,
175,Queens Local,,334451.0,328842.42809999996,179758.0,182832.74320000003,229391.20459999997,237613.0,,8221.795400000032,0.035841807511045404,
176,,,,,,,,,,,,
177,S40/90,,4072.0,4460.3602,3184.0,2636.3574,2088.5939,1697.0,,-391.59389999999985,-0.18749164210428837,157
178,S42,,828.0,764.1033,335.0,314.3025,316.7982,284.0,,-32.79820000000001,-0.10353025995728514,186
179,S44/94,,5928.0,5736.468800000001,3315.0,3100.7479,3138.8168,3043.0,,-95.81680000000006,-0.03052640727550587,125
180,S46/96,1,6435.0,6146.0933,3557.0,3147.3102,3111.1222,2096.0,,-1015.1221999999998,-0.3262881155873594,143
