name,rid,color,area_px,lon,lat,country,province,admin_divisions,flags
,692,#cdb1f5,2617,112.0814,27.5861,China,Hunan,"Shuangfeng (双峰县|雙峰縣); eastern half of Lianyuan (涟源市|漣源市) (also Xiangtan (湘潭市), Loudi)",
,853,#dcc3b1,9364,118.547,27.5246,China,"Fujian, Zhejiang","Pucheng (浦城县); most of Jianyang (建阳市); northern half of Jian'ou (建瓯市) (also Zhenghe (政和县), Songxi (松溪县), Zhejiang)",
,587,#c1b4f5,2439,110.9611,27.3486,China,Hunan,Longhui (隆回县|隆回縣),
,907,#dfc8ad,11380,117.6178,27.3004,China,"Fujian, Jiangxi","Shaowu (邵武市); Chongan (also Sanming (三明市), Guangze (光泽县), Shunchang (顺昌县), Jianyang (建阳市), Jiangxi)",
,507,#b891ff,428,111.5201,27.2558,China,Hunan,most of Shaoyang Shì (邵阳市); southern small part of Xinshao (新邵县|新邵縣); western small part of Shaodong (邵东县|邵東縣),
,638,#c6affc,2556,111.4072,27.2176,China,Hunan,most of Shaoyang Xiàn (邵阳县); most of Xinshao (新邵县|新邵縣) (also Shaoyang Shì (邵阳市)),
,652,#c7e1cc,5632,109.8255,27.2023,China,"Hunan, Guizhou","Hóngjiāng Qū (洪江区); Zhijiang Dong Dongzu (芷江侗族自治县|芷江侗族自治縣); most of Huitong (会同县|會同縣) (also Hóngjiāng Shì (洪江市), Guizhou)",
,484,#b5e6b8,3326,113.4496,27.1982,China,"Hunan, Jiangxi","Youxian (攸县|攸縣) (also Hengyang (衡阳市), Jiangxi, Liling (醴陵市|醴陵市))",
,705,#ceb1fc,1452,111.8539,27.1878,China,Hunan,Shaodong (邵东县|邵東縣),
,602,#c2a9ff,2532,112.7718,27.1685,China,Hunan,most of Hengdong (衡东县|衡東縣); Hengshan (衡山县|衡山縣); northeastern part of Hengyang Xiàn (衡阳县) (also Hengyang Shì (衡阳市)),
,815,#d9e9c2,10017,116.7417,27.1398,China,"Jiangxi, Fujian","Nanfeng (南丰县) (also Jianning (建宁县), Lichuan (黎川县), Nancheng (南城县), Guangchang (广昌县), Taining (泰宁县), Zixi (资溪县))",
